,Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],Population growth (annual %) [SP.POP.GROW],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]",Population density (people per sq. km of land area) [EN.POP.DNST],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Ter,Happiness Score,develppedEc
40,2015,YR2015,Gabon,GAB,3.85,65.68441463414639,20.0,9598.30366648603,2.8621818575327795,11.8,10.9,39.86049558,7.49087980750572,1.19460285704825,0.0,3.8960000000000004,n
41,2015,YR2015,Georgia,GEO,2.003,72.9661219512195,12.0,3973.21934830931,-0.265982612716282,6.7,6.7,20.476322800000002,65.0320165156234,2.3800332703407,2.373,4.297,n
42,2015,YR2015,Germany,DEU,1.5,81.090243902439,4.59999990463257,45412.5568082313,0.8657026439502511,10.6,13.4,14.015371900000002,234.153658068159,1.1794720155077,3.442,6.75,n
43,2015,YR2015,Ghana,GHA,4.042,62.407243902439006,5.09999990463257,1685.98612144005,2.27438031073102,5.4,6.9,22.98826426,121.221855497934,0.519715457408702,1.381,4.633,n
44,2015,YR2015,Greece,GRC,1.3,81.5878048780488,24.899999618530302,22648.7698813993,-0.6588613608783389,9.3,4.3,13.48711001,83.947889837083,2.53045763797423,4.976,4.857,n
45,2015,YR2015,Guatemala,GTM,3.029,73.0429756097561,2.4000000953674303,3069.0435184425396,2.04426638203996,3.9,2.5,34.84767569,151.665070921986,0.43026667729747997,2.009,6.122999999999999,n
46,2015,YR2015,Guinea,GIN,4.934,59.398951219512206,6.300000190734861,707.366223039548,2.39391686647114,0.7,7.7,22.63592379,49.2085829399316,2.52550033065861,1.187,3.656,n
47,2015,YR2015,Honduras,HND,2.5069999999999997,73.32460975609759,7.400000095367429,2098.3402305658897,1.70642988244152,4.0,3.5,37.59004958,80.0860577352757,1.51958367582504,2.077,4.788,n
48,2015,YR2015,Hungary,HUN,1.44,75.9609756097561,6.800000190734861,14629.2350325735,-0.23785500198465698,12.4,21.6,23.05838255,108.726698332045,0.920425904706633,1.187,4.8,n
49,2015,YR2015,India,IND,2.352,68.3326097560976,3.5,1758.0433761269198,1.16752707459156,4.6,15.7,74.32984681,440.28601602992103,2.40512828477573,7.747,4.565,n
50,2015,YR2015,Indonesia,IDN,2.3890000000000002,69.0386341463415,6.0,3827.5483074194203,1.1810139151676398,0.6,2.9,15.40820407,142.507390274734,0.8869711326333379,4.755,5.399,n
51,2015,YR2015,Iran,IRN,1.686,75.7426341463415,11.1000003814697,6007.00489252087,1.20352026096251,1.0,3.6,42.98979197,48.724481814386394,2.69135716406405,4.222,4.686,n
52,2015,YR2015,Iraq,IRQ,4.427,69.6346097560976,15.0,5285.67041579855,3.1204501025217795,0.5,3.0,51.99596281,83.1544690550746,5.3463705293276105,10.0,4.677,n
53,2015,YR2015,Ireland,IRL,1.94,81.5024390243902,9.39999961853027,67590.37036006669,1.28277238155032,10.9,11.7,9.799825902,67.8884453476557,0.34308075954882206,3.663,6.94,n
54,2015,YR2015,Israel,ISR,3.09,82.05121951219509,5.300000190734861,32993.3142755677,1.98128897562083,3.1,5.5,21.09447276,387.250462107209,5.60351205640768,6.034,7.278,n
55,2015,YR2015,Italy,ITA,1.37,83.490243902439,11.8999996185303,33984.0874620499,-0.0963761331392095,6.1,7.9,19.86123293,206.468287210172,1.38051227111299,3.364,5.9479999999999995,n
56,2015,YR2015,Jamaica,JAM,2.026,75.8066829268293,13.5,4740.63823367243,0.343459142543865,5.1,1.4,16.99207352,265.18319482917803,0.8336780403916271,0.229,5.709,n
57,2015,YR2015,Japan,JPN,1.46,83.84365853658541,3.4000000953674303,47082.6885940638,-0.106124993746747,7.5,19.6,13.33416293,348.751920122888,0.937771183303515,0.0,5.987,n
58,2015,YR2015,Jordan,JOR,3.445,74.1910243902439,13.1000003814697,3297.8944116303196,3.8961312184316004,0.7,3.2,38.79814209,103.16852894796101,4.3074837146125295,1.751,5.192,n
59,2015,YR2015,Kazakhstan,KAZ,2.73,72.0,5.0,10616.6758083019,1.46357757786993,8.2,27.5,19.66999774,6.49854650516724,1.10972144949649,1.881,5.855,n
60,2015,YR2015,Kenya,KEN,3.917,66.6456585365854,11.8999996185303,1107.91805611762,2.5993365335320697,4.0,6.5,16.29880428,82.99585163580142,1.32302640973471,6.66,4.419,n
61,2015,YR2015,South Korea,KOR,1.239,82.1558536585366,3.5999999046325697,24870.770896438702,0.5272884974077929,10.9,32.0,28.66424214,523.337576938859,2.63477209190397,,5.984,n
62,2015,YR2015,Kuwait,KWT,1.986,74.7468292682927,3.29999995231628,35053.590836125295,3.97406925996328,0.1,4.0,67.43349003,220.86386083052798,4.80480545813717,0.019,6.295,n
63,2015,YR2015,Kyrgyzstan,KGZ,3.2,70.6512195121951,7.599999904632571,1021.1607921850801,2.05902596620676,3.9,7.4,16.92166624,31.0578727841502,3.4516529326854504,,5.2860000000000005,n
64,2015,YR2015,Latvia,LVA,1.64,74.12439024390241,9.89999961853027,14294.0437299965,-0.818626340945853,10.6,21.7,20.41799195,31.803264715342603,1.04668330738457,0.0,5.098,n
65,2015,YR2015,Lebanon,LBN,1.72,79.498243902439,6.199999809265139,7189.63371109902,4.33424877066245,2.2,3.1,32.60158923,571.992082111437,4.5277960947177895,6.376,4.8389999999999995,n
66,2015,YR2015,Lesotho,LSO,3.1430000000000002,53.5700975609756,26.7999992370605,1338.53537447682,1.3359980032046799,6.4,10.4,24.70117006,71.6286231884058,1.75690483825943,0.0,4.898,n
67,2015,YR2015,Liberia,LBR,4.65,61.9802195121951,3.5999999046325697,367.475978462181,2.4496076461636602,5.2,6.3,7.8518150339999995,46.7153343023256,0.6635447394296949,1.219,4.571000000000001,n
68,2015,YR2015,Lithuania,LTU,1.63,75.119512195122,9.10000038146973,15341.842595032,-0.9407537966462081,16.2,32.7,19.06499459,46.3702391214124,1.13821125100633,0.0,5.832999999999999,n
69,2015,YR2015,Luxembourg,LUX,1.5,82.2292682926829,6.699999809265139,107648.608007826,2.35995118136865,11.2,11.1,16.58784625,219.924324324324,0.477909561392646,,6.946000000000001,n
70,2015,YR2015,Madagascar,MDG,4.2410000000000005,65.50782926829271,1.79999995231628,410.194159171184,2.6945779458470898,1.9,4.6,19.67682043,41.6536404262633,0.604796547183702,2.444,3.681,n
71,2015,YR2015,Malawi,MWI,4.646,62.54336585365851,6.400000095367429,483.628811026417,2.91437123952798,2.5,5.5,25.72702911,186.398037759864,0.695120365512318,0.0,4.292,n
72,2015,YR2015,Malaysia,MYS,2.056,75.22019512195119,3.0999999046325697,10745.045473250899,1.6247395278117902,1.7,5.8,15.55640978,93.51135291432051,1.52886312183484,3.579,5.77,n
73,2015,YR2015,Mali,MLI,6.145,57.4577073170732,10.6000003814697,726.2480670306619,2.93397742028047,1.0,5.7,44.0063041,14.315725419811699,2.36007307168521,5.871,3.995,n
74,2015,YR2015,Malta,MLT,1.42,81.9463414634146,5.400000095367429,25511.465914292403,1.04977699262603,7.2,6.0,15.67337266,1349.60625,0.5035862614356811,,6.3020000000000005,n
75,2015,YR2015,Mauritania,MRT,4.736000000000001,63.04636585365851,9.89999961853027,1306.64962923861,2.87231125722308,0.1,5.9,85.08515449,4.057767536625589,2.7507452232100498,0.305,4.436,n
76,2015,YR2015,Mauritius,MUS,1.36,74.3531707317073,7.900000095367429,9468.94070050164,0.13243308260532902,4.0,9.3,14.95404587,621.972906403941,0.180168970926559,0.0,5.477,n
77,2015,YR2015,Mexico,MEX,2.215,76.8813658536586,4.30000019073486,9615.31222869527,1.3348980655129399,6.8,5.0,20.23982419,64.7603842691427,0.671678248803633,3.985,7.187,n
78,2015,YR2015,Moldova,MDA,1.248,71.3712195121951,4.90000009536743,1980.26741236966,-0.0643836149210277,17.4,14.8,20.5543623,123.806319016268,0.353940422476604,0.038,5.888999999999999,n
79,2015,YR2015,Mongolia,MNG,2.793,69.1158780487805,7.400000095367429,3923.62846916544,1.79577908787101,7.8,28.3,23.59317989,1.9161648085687102,0.865609771836521,0.0,4.874,n
80,2015,YR2015,Montenegro,MNE,1.6769999999999998,76.8643170731707,17.5,7279.887053578871,0.0561107244885728,11.5,11.0,23.35266451,46.25717472118961,1.37049762047573,0.659,5.192,n
81,2015,YR2015,Morocco,MAR,2.526,75.5201463414634,9.69999980926514,3204.75361390755,1.40404547173424,0.7,4.8,22.99104134,77.98190006721941,3.2299212263707,1.446,5.013,n
82,2015,YR2015,Mozambique,MOZ,5.305,57.6092682926829,25.2999992370605,510.792079566086,2.89141684197945,2.0,8.4,19.53856529,35.6197906864366,0.9934954410319901,4.386,4.971,n
83,2015,YR2015,Myanmar,MMR,2.23,66.3856341463415,0.8000000119209291,1342.26306433207,0.9191991812267261,0.7,4.3,54.38812189,80.2408112329271,4.08095548486867,4.08,4.3069999999999995,n
84,2015,YR2015,Nepal,NPL,2.162,69.86985365853661,3.20000004768372,690.075033001948,1.1689981773038702,2.1,6.0,74.99780697,199.90430415068002,1.5356339476402199,4.791,4.513999999999999,n
85,2015,YR2015,Netherlands,NLD,1.71,81.7073170731707,6.900000095367429,51410.4893017426,0.443220089035769,9.6,11.9,14.63752206,502.81754229741796,1.14356865172205,0.429,7.377999999999999,n
86,2015,YR2015,New Zealand,NZL,1.99,81.45682926829271,5.400000095367429,36507.167680825,1.88904512495193,11.2,12.6,5.546610811,17.4535718354791,1.10715697506833,,7.2860000000000005,n
87,2015,YR2015,Nicaragua,NIC,2.231,75.038,5.800000190734861,1879.7130209354502,1.12497581944097,4.6,9.5,27.3819724,50.540427123151105,0.776083433770798,2.928,5.827999999999999,n
88,2015,YR2015,Nigeria,NGA,5.591,52.97792682926829,4.30000019073486,2562.52221561635,2.64035713540557,11.3,9.9,37.95728931,198.932490090802,0.417636537730714,9.213,5.268,n
89,2015,YR2015,Norway,NOR,1.75,82.1,4.30000019073486,90132.38916258699,0.995084736958414,7.0,10.9,9.07633792,14.205826226231698,1.5039209573986299,2.738,7.522,n
90,2015,YR2015,Oman,OMN,2.737,77.1218292682927,16.1000003814697,17070.9583991986,5.85617023227651,0.9,5.6,53.28119972,13.5696607431341,14.384188306700699,0.0,6.853,n
91,2015,YR2015,Pakistan,PAK,3.55,66.3321707317073,5.900000095367429,1140.20627149045,2.04540725481691,0.1,2.1,64.95375677,245.667954804898,3.55138730712674,9.065,5.194,n
92,2015,YR2015,Paraguay,PRY,2.509,73.0429756097561,5.300000190734861,3822.8629184931606,1.31197982948015,9.6,10.2,14.853318,16.7105940095646,1.41679725795426,4.094,5.877999999999999,n
93,2015,YR2015,Peru,PER,2.4290000000000003,74.7134146341463,6.400000095367429,5936.0178396786705,1.293736852337,5.2,5.8,27.8233501,24.51302421875,1.6864804398806998,3.316,5.824,n
94,2015,YR2015,Philippines,PHL,2.958,69.0098536585366,6.300000190734861,2615.65910183941,1.59959919746382,5.6,3.4,23.48713422,341.13545628332804,1.13929237189924,7.27,5.073,n
95,2015,YR2015,Poland,POL,1.32,78.2048780487805,7.5,14640.1543715988,-0.0666411009657168,11.5,22.3,24.28187517,124.061569613639,2.13945021429461,0.0,5.791,n
96,2015,YR2015,Portugal,PRT,1.23,81.5219512195122,12.3999996185303,22016.8369177565,-0.4141411019932129,12.5,13.6,9.760644322000001,113.072025849835,1.7835586161033299,0.267,5.102,n
97,2015,YR2015,Romania,ROU,1.52,74.9609756097561,6.800000190734861,9567.39322064001,-0.470733511049937,12.9,11.7,19.57866345,86.1243089360223,1.4504843483940801,0.0,5.124,n
98,2015,YR2015,Russia,RUS,1.75,70.90853658536591,5.599999904632571,11144.596895093799,0.19255864182342303,14.5,20.1,16.63374961,8.79880404497318,4.86275702689816,6.207,5.716,n
